HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"6202.40.50","7","Other","","27.7%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","90%","",""
"6202.40.50.11","8","Women's (635)","[""doz."",""kg""]","","","","",""
"6202.40.50.21","8","Girls' (635)","[""doz."",""kg""]","","","","",""
"","3","Other:","","","","","",""
"6202.40.55.00","4","Containing 15 percent or more by weight of down and waterfowl plumage and of which down comprises 35 percent or more by weight; containing 10 percent or more by weight of down (654)","[""doz."",""kg""]","4.4%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","60%","",""
"","4","Other:","","","","","",""
"6202.40.60","5","Padded, sleeveless jackets","","14.9%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","76%","",""
"6202.40.60.10","6","With attachments for sleeves (635)","[""doz."",""kg""]","","","","",""
"6202.40.60.20","6","Other (659)","[""doz."",""<u>kg<\/u>""]","","","","",""
"","5","Other:","","","","","",""
"6202.40.65","6","Containing 36 percent or more by weight of wool or fine animal hair","","43.4¢/kg + 19.7%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","46.3¢/kg + 58.5%","",""
"6202.40.65.11","7","Women's (435)","[""doz."",""kg""]","","","","",""
"6202.40.65.21","7","Girls' (435)","[""doz."",""kg""]","","","","",""
"","6","Other:","","","","","",""
"6202.40.70.00","7","Water resistant (635)","[""doz."",""kg""]","7.1%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","65%","",""
"6202.40.75","7","Other","","27.7%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","90%","",""
"6202.40.75.11","8","Women's (635)","[""doz."",""kg""]","","","","",""
"6202.40.75.21","8","Girls'  (635)","[""doz."",""kg""]","","","","",""
"6202.90","1","Of other textile materials:","","","","","",""
"","2","Overcoats, carcoats, capes, cloaks and similar coats:","","","","","",""
"6202.90.19.00","3","Containing 70 percent or more by weight of silk or silk waste (735)","[""doz."",""kg""]","Free","","35%","",""
"6202.90.29","3","Other","","2.8%","Free (AU,BH,CL,CO,E*,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","35%","",""
"6202.90.29.10","4","Subject to cotton restraints (335)","[""doz."",""kg""]","","","","",""
"6202.90.29.20","4","Subject to wool restraints (435)","[""doz."",""kg""]","","","","",""
"6202.90.29.30","4","Subject to man-made fiber restraints (635)","[""doz."",""kg""]","","","","",""
"6202.90.29.60","4","Other (835)","[""doz."",""kg""]","","","","",""
"","2","Anoraks (including ski-jackets), windbreakers and similar articles (including padded, sleeveless jackets):","","","","","",""
"","3","Recreational performance outerwear:","","","","","",""
"6202.90.39.00","4","Containing 70 percent or more by weight of silk or silk waste (735)","[""doz."",""kg""]","Free","","35%","",""
"6202.90.49","4","Other","","2.8%","Free (AU,BH,CL,CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","35%","",""
"6202.90.49.11","5","Subject to cotton restraints (335)","[""doz."",""kg""]","","","","",""
"6202.90.49.21","5","Subject to wool restraints (435)","[""doz."",""kg""]","","","","",""
"6202.90.49.31","5","Subject to man-made fiber restraints (635)","[""doz."",""kg""]","","","","",""
"6202.90.49.61","5","Other (835)","[""doz."",""kg""]","","","","",""
"","3","Other:","","","","","",""
"6202.90.59.00","4","Containing 70 percent or more by weight of silk or silk waste (735)","[""doz."",""kg""]","Free","","35%","",""
"6202.90.69","4","Other","","2.8%","Free (AU,BH,CL,CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","35%","",""
"6202.90.69.11","5","Subject to cotton restraints (335)","[""doz."",""kg""]","","","","",""
"6202.90.69.21","5","Subject to wool restraints (435)","[""doz."",""kg""]","","","","",""
"6202.90.69.31","5","Subject to man-made fiber restraints (635)","[""doz."",""kg""]","","","","",""
"6202.90.69.61","5","Other (835)","[""doz."",""kg""]","","","","",""
"6203","0","Men's or boys' suits, ensembles, suit-type jackets, blazers, trousers, bib and brace overalls,   breeches and shorts (other than swimwear):","","","","","",""
"","1","Suits:","","","","","",""
"6203.11","2","Of wool or fine animal hair:","","","","","",""
