HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"7208.26.00.60","3","Other","[""kg""]","","","","",""
"7208.27.00","2","Of a thickness of less than 3 mm","","Free","","0.4¢/kg + 20%","",""
"","3","High-strength steel:","","","","","",""
"7208.27.00.40","4","“Advanced” or “ultra” of a kind described in statistical note 4 to this chapter","[""kg""]","","","","",""
"7208.27.00.45","4","Other","[""kg""]","","","","",""
"7208.27.00.60","3","Other","[""kg""]","","","","",""
"","1","Other, in coils, not further worked than hot-rolled:","","","","","",""
"7208.36.00","2","Of a thickness exceeding 10 mm","","Free","","20%","",""
"7208.36.00.30","3","High-strength steel","[""kg""]","","","","",""
"7208.36.00.60","3","Other","[""kg""]","","","","",""
"7208.37.00","2","Of a thickness of <il>4.75 mm</il> or more but not exceeding 10 mm","","Free","","20%","",""
"7208.37.00.30","3","High-strength steel","[""kg""]","","","","",""
"7208.37.00.60","3","Other","[""kg""]","","","","",""
"7208.38.00","2","Of a thickness of 3 mm or more but less than <il>4.75 mm</il>","","Free","","20%","",""
"7208.38.00.15","3","High-strength steel","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"7208.38.00.30","4","With untrimmed edges","[""kg""]","","","","",""
"7208.38.00.90","4","Other","[""kg""]","","","","",""
"7208.39.00","2","Of a thickness of less than 3 mm","","Free","","20%","",""
"","3","High-strength steel:","","","","","",""
"7208.39.00.20","4","“Advanced” or “ultra” of a kind described in statistical note 4 to this chapter","[""kg""]","","","","",""
"7208.39.00.25","4","Other","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"7208.39.00.30","4","With untrimmed edges","[""kg""]","","","","",""
"7208.39.00.90","4","Other","[""kg""]","","","","",""
"7208.40","1","Not in coils, not further worked than hot-rolled, with patterns in relief:","","","","","",""
"7208.40.30","2","Of a thickness of <il>4.75 mm</il> or more","","Free","","20%","",""
"7208.40.30.30","3","Of a thickness exceeding 10 mm","[""kg""]","","","","",""
"7208.40.30.60","3","Other","[""kg""]","","","","",""
"7208.40.60","2","Of a thickness of less than <il>4.75 mm</il>","","Free","","20%","",""
"7208.40.60.30","3","Of a thickness less than 3 mm","[""kg""]","","","","",""
"7208.40.60.60","3","Other","[""kg""]","","","","",""
"","1","Other, not in coils, not further worked than hot-rolled:","","","","","",""
"7208.51.00","2","Of a thickness exceeding 10 mm","","Free","","20%","",""
"7208.51.00.30","3","Universal mill plate","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"7208.51.00.45","4","Of high-strength steel","[""kg""]","","","","",""
"7208.51.00.60","4","Other","[""kg""]","","","","",""
"7208.52.00.00","2","Of a thickness of <il>4.75 mm</il> or more but not exceeding 10 mm","[""kg""]","Free","","20%","",""
"7208.53.00.00","2","Of a thickness of 3 mm or more but less than <il>4.75 mm</il>","[""kg""]","Free","","20%","",""
"7208.54.00.00","2","Of a thickness of less than 3 mm","[""kg""]","Free","","20%","",""
"7208.90.00.00","1","Other","[""kg""]","Free","","20%","",""
"7209","0","Flat-rolled products of iron or nonalloy steel, of a width of <il>600 mm</il> or more, cold-rolled (cold-reduced), not clad, plated or coated:","","","","","",""
"","1","In coils, not further worked than cold-rolled (cold-reduced):","","","","","",""
"7209.15.00.00","2","Of a thickness of 3 mm or more","[""kg""]","Free","","0.4¢/kg + 20%","",""
"7209.16.00","2","Of a thickness exceeding <il>1 mm</il> but less than 3 mm","","Free","","0.4¢/kg + 20%","",""
"","3","Of high-strength steel:","","","","","",""
"","4","Annealed:","","","","","",""
"7209.16.00.40","5","“Advanced” or “ultra” of a kind described in statistical note 4 to this chapter","[""kg""]","","","","",""
"7209.16.00.45","5","Other","[""kg""]","","","","",""
"7209.16.00.60","4","Other","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"7209.16.00.70","4","Annealed","[""kg""]","","","","",""
"7209.16.00.91","4","Other","[""kg""]","","","","",""
"7209.17.00","2","Of a thickness of 0.5 mm or more but not exceeding <il>1 mm</il>","","Free","","0.4¢/kg + 20%","",""
"","3","Of high-strength steel:","","","","","",""
"","4","Annealed:","","","","","",""
"7209.17.00.40","5","“Advanced” or “ultra” of a kind described in statistical note 4 to this chapter","[""kg""]","","","","",""
"7209.17.00.45","5","Other","[""kg""]","","","","",""
"7209.17.00.60","4","Other","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"7209.17.00.70","4","Annealed","[""kg""]","","","","",""
"7209.17.00.91","4","Other","[""kg""]","","","","",""
"7209.18","2","Of a thickness of less than 0.5 mm:","","","","","",""
"7209.18.15","3","Of high-strength steel","","Free","","0.4¢/kg + 20%","",""
"7209.18.15.30","4","Annealed","[""kg""]","","","","",""
"7209.18.15.60","4","Other","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"7209.18.25","4","Of a thickness of less than 0.361 mm (blackplate)","","Free","","20%","",""
"7209.18.25.20","5","Annealed","[""kg""]","","","","",""
"7209.18.25.85","5","Other","[""kg""]","","","","",""
"7209.18.60","4","Other","","Free","","0.4¢/kg + 20%","",""
"7209.18.60.20","5","Annealed","[""kg""]","","","","",""
"7209.18.60.90","5","Other","[""kg""]","","","","",""
"","1","Not in coils, not further worked than cold-rolled (cold-reduced):","","","","","",""
"7209.25.00.00","2","Of a thickness of 3 mm or more","[""kg""]","Free","","0.4¢/kg + 20%","",""
"7209.26.00.00","2","Of a thickness exceeding <il>1 mm</il> but less than 3 mm","[""kg""]","Free","","0.4¢/kg + 20%","",""
"7209.27.00.00","2","Of a thickness of 0.5 mm or more but not exceeding <il>1 mm</il>","[""kg""]","Free","","0.4¢/kg + 20%","",""
"7209.28.00.00","2","Of a thickness of less than 0.5 mm","[""kg""]","Free","","0.4¢/kg + 20%","",""
"7209.90.00.00","1","Other","[""kg""]","Free","","0.4¢/kg + 20%","",""
"7210","0","Flat-rolled products of iron or nonalloy steel, of a width of <il>600 mm</il> or more, clad, plated or coated:","","","","","",""
"","1","Plated or coated with tin:","","","","","",""
