HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"6005.42.00.20","4","Stitch-bonded goods (223)","[""kg""]","","","","",""
"6005.42.00.80","4","Other (222)","[""kg""]","","","","",""
"6005.43.00","2","Of yarns of different colors","","10%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","113.5%","",""
"6005.43.00.10","3","Open-work fabrics (229)","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"6005.43.00.20","4","Stitch-bonded goods (223)","[""kg""]","","","","",""
"6005.43.00.80","4","Other (222)","[""kg""]","","","","",""
"6005.44.00","2","Printed","","10%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","113.5%","",""
"6005.44.00.10","3","Open-work fabrics (229)","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"6005.44.00.20","4","Stitch-bonded goods (223)","[""kg""]","","","","",""
"6005.44.00.80","4","Other (222)","[""kg""]","","","","",""
"6005.90","1","Other:","","","","","",""
"6005.90.10.00","2","Of wool or fine animal hair (414)","[""kg""]","10%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","65.5%","",""
"6005.90.90.00","2","Other (899)","[""kg""]","10%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","45%","",""
"6006","0","Other knitted or crocheted fabrics:","","","","","",""
"6006.10.00.00","1","Of wool or fine animal hair (414)","[""kg""]","10%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","65.5%","",""
"","1","Of cotton:","","","","","",""
"6006.21","2","Unbleached or bleached:","","","","","",""
"6006.21.10.00","3","Circular knit, wholly of cotton yarns exceeding <il>100 metric</il> number per single yarn (222)","[""kg""]","10%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","45%","",""
"6006.21.90","3","Other","","10%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"6006.21.90.20","4","Of single knit construction (222)","[""kg""]","","","","",""
"6006.21.90.80","4","Other (222)","[""kg""]","","","","",""
"6006.22","2","Dyed:","","","","","",""
"6006.22.10.00","3","Circular knit, wholly of cotton yarns exceeding <il>100 metric</il> number per single yarn (222)","[""kg""]","10%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"6006.22.90","3","Other","","10%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"6006.22.90.20","4","Of single knit construction (222)","[""kg""]","","","","",""
"6006.22.90.80","4","Other (222)","[""kg""]","","","","",""
"6006.23","2","Of yarns of different colors:","","","","","",""
"6006.23.10.00","3","Circular knit, wholly of cotton yarns exceeding <il>100 metric</il> number per single yarn (222)","[""kg""]","10%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","45%","",""
"6006.23.90","3","Other","","10%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"6006.23.90.20","4","Of single knit construction (222)","[""kg""]","","","","",""
"6006.23.90.80","4","Other (222)","[""kg""]","","","","",""
"6006.24","2","Printed:","","","","","",""
"6006.24.10.00","3","Circular knit, wholly of cotton yarns exceeding <il>100 metric</il> number per single yarn (222)","[""kg""]","10%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","45%","",""
"6006.24.90","3","Other","","10%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","45%","",""
"6006.24.90.20","4","Of single knit construction (222)","[""kg""]","","","","",""
"6006.24.90.80","4","Other (222)","[""kg""]","","","","",""
"","1","Of synthetic fibers:","","","","","",""
"6006.31.00","2","Unbleached or bleached","","10%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","113.5%","",""
"","3","Of double knit or interlock construction:","","","","","",""
"6006.31.00.20","4","Of nylon (222)","[""kg""]","","","","",""
"6006.31.00.40","4","Of polyester (222)","[""kg""]","","","","",""
"6006.31.00.60","4","Other (222)","[""kg""]","","","","",""
"6006.31.00.80","3","Other (222)","[""kg""]","","","","",""
"6006.32.00","2","Dyed","","10%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","113.5%","",""
"","3","Of double knit or interlock construction:","","","","","",""
"6006.32.00.20","4","Of nylon (222)","[""kg""]","","","","",""
"6006.32.00.40","4","Of polyester (222)","[""kg""]","","","","",""
"6006.32.00.60","4","Other (222)","[""kg""]","","","","",""
"6006.32.00.80","3","Other (222)","[""kg""]","","","","",""
