HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"7411.21.10.00","3","Seamless","[""kg""]","1.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","10%","",""
"7411.21.50.00","3","Other","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","49%","",""
"7411.22.00.00","2","Of copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel-silver)","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","47%","",""
"7411.29","2","Other:","","","","","",""
"7411.29.10.00","3","Seamless","[""kg""]","1.4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","10%","",""
"7411.29.50.00","3","Other","[""kg""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","49%","",""
"7412","0","Copper tube or pipe fittings (for example couplings, elbows, sleeves):","","","","","",""
"7412.10.00.00","1","Of refined copper","[""kg""]","3%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","46%","",""
"7412.20.00","1","Of copper alloys","","3%","Free (A*,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","49%","",""
"7412.20.00.15","2","For brake hoses for vehicles of subheading 8701.21, 8701.22, 8701.23, 8701.24 or 8701.29 or headings 8702, 8703, 8704, or 8705","[""kg""]","","","","",""
"","2","Other:","","","","","",""
"","3","Of copper-zinc base alloys (brass):","","","","","",""
"","4","Threaded:","","","","","",""
"7412.20.00.25","5","Nipples","[""kg""]","","","","",""
"7412.20.00.35","5","Other","[""kg""]","","","","",""
"7412.20.00.45","4","Other","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"","4","Threaded:","","","","","",""
"7412.20.00.65","5","Nipples","[""kg""]","","","","",""
"7412.20.00.85","5","Other","[""kg""]","","","","",""
"7412.20.00.90","4","Other","[""kg""]","","","","",""
"7413.00","0","Stranded wire, cables, plaited bands and the like, including slings and similar articles, of copper, not electrically insulated:","","","","","",""
"","1","Not fitted with fittings and not made up into articles:","","","","","",""
"7413.00.10.00","2","Stranded wire","[""kg""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"7413.00.50.00","2","Other","[""kg""]","2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"7413.00.90.00","1","Fitted with fittings or made up into articles","[""kg""]","3%","Free (A*,AU,B,BH,C,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7415","0","Nails, tacks, drawing pins, staples (other than those of heading 8305) and similar articles, of copper or of iron or steel with heads of copper; screws, bolts, nuts, screw hooks, rivets, cotters, cotter pins, washers (including spring washers) and similar articles, of copper:","","","","","",""
"7415.10.00.00","1","Nails and tacks, drawing pins, staples and similar articles","[""kg""]","2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"","1","Other articles, not threaded:","","","","","",""
"7415.21.00.00","2","Washers (including spring washers)","[""kg""]","3%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7415.29.00.00","2","Other","[""kg""]","3%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"","1","Other threaded articles:","","","","","",""
"7415.33","2","Screws, bolts and nuts:","","","","","",""
"7415.33.05.00","3","Screws for wood","[""kg""]","3%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7415.33.10.00","3","Muntz or yellow metal bolts","[""kg""]","1.4%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","7%","",""
"7415.33.80","3","Other screws and bolts; nuts","","3%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7415.33.80.10","4","Having shanks, threads or holes 6 mm or more in diameter","[""kg""]","","","","",""
"7415.33.80.50","4","Having shanks, threads or holes less than <il>6 mm</il> in diameter","[""kg""]","","","","",""
"7415.39.00.00","2","Other","[""kg""]","3%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7418","0","Table, kitchen or other household articles and parts thereof, of copper; pot scourers and scouring or polishing pads, gloves and the like, of copper; sanitary ware and parts thereof, of copper:","","","","","",""
"7418.10.00","1","Table, kitchen or other household articles and parts thereof; pot scourers and scouring or polishing pads, gloves and the like","","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"","2","Pot scourers and scouring or polishing pads, gloves and the like:","","","","","",""
"7418.10.00.02","3","Of copper-zinc base alloys (brass)","[""kg""]","","","","",""
"7418.10.00.04","3","Other","[""kg""]","","","","",""
"","2","Other:","","","","","",""
"7418.10.00.19","3","Coated or plated with precious metals","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"","4","Of copper-zinc base alloys (brass):","","","","","",""
"7418.10.00.21","5","Cooking or heating apparatus of a kind used for domestic purposes, non- electric and parts thereof","[""kg""]","","","","",""
"7418.10.00.23","5","Cooking and kitchen ware","[""kg""]","","","","",""
"7418.10.00.25","5","Other","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"7418.10.00.51","5","Cooking or heating apparatus of a kind used for domestic purposes, non- electric and parts thereof","[""kg""]","","","","",""
"7418.10.00.53","5","Cooking and kitchen ware","[""No."",""kg""]","","","","",""
"7418.10.00.55","5","Other","[""kg""]","","","","",""
"7418.20","1","Sanitary ware and parts thereof:","","","","","",""
"7418.20.10.00","2","Of copper-zinc base alloys (brass)","[""kg""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"7418.20.50.00","2","Other","[""kg""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"7419","0","Other articles of copper:","","","","","",""
"7419.20.00","1","Cast, molded, stamped or forged, but not further worked","","Free","","46%","",""
"7419.20.00.10","2","Brass plumbing goods, not elsewhere specified or included","[""kg""]","","","","",""
"7419.20.00.50","2","Other","[""kg""]","","","","",""
"7419.80","1","Other:","","","","","",""
"","2","Cloth (including endless bands), grill and netting, of copper wire; expanded metal of copper:","","","","","",""
"","3","Cloth:","","","","","",""
"7419.80.03.00","4","Fourdrinier wires, seamed or not seamed, suitable for use in papermaking machines, with 94 or more wires to the lineal centimeter","[""m<sup>2<\/sup>"",""kg""]","Free","","75%","",""
"7419.80.06","4","Other","","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","43%","",""
"7419.80.06.60","5","Fourdrinier wires, seamed or not seamed, suitable for use in papermaking machines, with fewer than 94 or more wires to the lineal centimeter","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"7419.80.06.80","5","Other","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"7419.80.09.00","3","Other","[""kg""]","3%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","43%","",""
"7419.80.15.00","2","Containers of a kind normally carried on the person, in the pocket or in the handbag","[""doz.""]","3%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","110%","",""
"7419.80.16.00","2","Copper springs","[""kg""]","3%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7419.80.17.00","2","Chain and parts thereof","[""kg""]","3%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"","2","Other:","","","","","",""
"7419.80.30.00","3","Coated or plated with precious metal","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"7419.80.50","3","Other","","Free","","46%","",""
"7419.80.50.10","4","Brass plumbing goods not elsewhere specified or included","[""kg""]","","","","",""
"7419.80.50.50","4","Other","[""kg""]","","","","",""
