HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"1514.19.00.00","2","Other","[""kg""]","6.4%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","22.5%","",""
"","1","Other:","","","","","",""
"1514.91","2","Crude oil:","","","","","",""
"1514.91.10.00","3","Imported to be used in the manufacture of rubber substitutes or lubricating oil","[""kg""]","Free","","1.8¢/kg","",""
"1514.91.90","3","Other","","6.4%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","22.5%","",""
"1514.91.90.10","4","Rape or colza oil and its fractions","[""kg""]","","","","",""
"1514.91.90.20","4","Mustard seed oil and its fractions","[""kg""]","","","","",""
"1514.99","2","Other:","","","","","",""
"1514.99.10.00","3","Imported to be used in the manufacture of rubber substitutes or lubricating oil","[""kg""]","Free","","1.8¢/kg","",""
"","3","Other:","","","","","",""
"1514.99.50","4","Denatured","","1.3¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","9.92¢/kg","",""
"1514.99.50.10","5","Rape or colza oil and its fractions","[""kg""]","","","","",""
"1514.99.50.20","5","Mustard seed oil and its fractions","[""kg""]","","","","",""
"1514.99.90","4","Other","","6.4%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","22.5%","",""
"1514.99.90.10","5","Rape or colza oil and its fractions","[""kg""]","","","","",""
"1514.99.90.20","5","Mustard seed oil and its fractions","[""kg""]","","","","",""
"1515","0","Other fixed vegetable or microbial fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified:","","","","","",""
"","1","Linseed oil and its fractions:","","","","","",""
"1515.11.00.00","2","Crude oil","[""kg""]","6.3¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","9.9¢/kg","",""
