HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"1604.19","2","Other (including yellowtail):","","","","","",""
"","3","In airtight containers:","","","","","",""
"","4","Not in oil:","","","","","",""
"1604.19.10.00","5","Bonito, yellowtail and pollock","[""kg""]","4%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"1604.19.22.00","5","Other","[""kg""]","4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","4","In oil:","","","","","",""
"1604.19.25.00","5","Bonito, yellowtail and pollock","[""kg""]","5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"1604.19.32.00","5","Other","[""kg""]","4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"","3","Other:","","","","","",""
"","4","Fish sticks and similar products of any size or shape, fillets or other portions of fish, if breaded, coated with batter or similarly prepared:","","","","","",""
"1604.19.41.00","5","Neither cooked nor in oil","[""kg""]","10%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1604.19.51.00","5","Other","[""kg""]","7.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"","4","Other:","","","","","",""
"1604.19.61.00","5","In oil and in bulk or in immediate containers weighing with their contents over <il>7 kg</il> each","[""kg""]","Free","","2.8¢/kg","",""
"1604.19.82.00","5","Other","[""kg""]","6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"1604.20","1","Other prepared or preserved fish:","","","","","",""
"1604.20.05","2","Products containing meat of crustaceans, molluscs or other aquatic invertebrates; prepared meals","","5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1604.20.05.10","3","Prepared meals","[""kg""]","","","","",""
"1604.20.05.90","3","Other","[""kg""]","","","","",""
"","2","Other:","","","","","",""
"1604.20.10.00","3","Pastes","[""kg""]","Free","","30%","",""
"","3","Balls, cakes and puddings:","","","","","",""
"1604.20.15.00","4","In oil","[""kg""]","Free","","30%","",""
"","4","Not in oil:","","","","","",""
"","5","In immediate containers weighing with their contents not over 6.8 kg each:","","","","","",""
"1604.20.20.00","6","In airtight containers","[""kg""]","Free","","25%","",""
"1604.20.25.00","6","Other","[""kg""]","Free","","25%","",""
"1604.20.30.00","5","Other","[""kg""]","Free","","2%","",""
"","3","Fish sticks and similar products of any size or shape, if breaded, coated with batter or similarly prepared:","","","","","",""
"1604.20.40.00","4","Neither cooked nor in oil","[""kg""]","10%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","20%","",""
"1604.20.50","4","Other","","7.5%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","30%","",""
"1604.20.50.10","5","Pre-cooked and frozen","[""kg""]","","","","",""
"1604.20.50.90","5","Other","[""kg""]","","","","",""
"1604.20.60","3","Other","","Free","","25%","",""
"1604.20.60.10","4","Pre-cooked and frozen","[""kg""]","","","","",""
"1604.20.60.90","4","Other","[""kg""]","","","","",""
"","1","Caviar and caviar substitutes:","","","","","",""
"1604.31.00.00","2","Caviar","[""kg""]","15%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"1604.32","2","Caviar substitutes:","","","","","",""
"1604.32.30.00","3","Boiled and in airtight containers","[""kg""]","Free","","30%","",""
"1604.32.40.00","3","Other","[""kg""]","Free","","44¢/kg","",""
"1605","0","Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved:","","","","","",""
"1605.10","1","Crab:","","","","","",""
"1605.10.05","2","Products containing fish meat; prepared meals","","10%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1605.10.05.10","3","In airtight containers","[""kg""]","","","","",""
"1605.10.05.90","3","Other","[""kg""]","","","","",""
"","2","Other:","","","","","",""
"","3","Crabmeat:","","","","","",""
"1605.10.20","4","In airtight containers","","Free","","22.5%","",""
"1605.10.20.10","5","King crab","[""kg""]","","","","",""
"","5","Snow crab (<u>Chionoecetes</u> <u>bairdi</u>, <u>C.</u> <u>opilio</u>, <u>C.</u> <u>tanneri</u> and <u>C.</u> <u>angulatus</u>):","","","","","",""
"1605.10.20.22","6","<u>C.</u> <u>opilio</u> (small)","[""kg""]","","","","",""
"1605.10.20.25","6","Other","[""kg""]","","","","",""
"1605.10.20.30","5","Dungeness","[""kg""]","","","","",""
"","5","Swimming crabs (<u>Portunidae</u>):","","","","","",""
"1605.10.20.51","6","<u>Callinectes</u> <i>spp</i>., including blue crabs (<u>C</u>. <u>sapidus</u>)","[""kg""]","","","","",""
"1605.10.20.59","6","Other","[""kg""]","","","","",""
"1605.10.20.90","5","Other","[""kg""]","","","","",""
"1605.10.40","4","Other","","5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15%","",""
"","5","Frozen:","","","","","",""
"1605.10.40.02","6","King crab","[""kg""]","","","","",""
"","6","Snow crab (<u>Chionoecetes</u> <u>bairdi</u>, <u>C.</u> <u>opilio</u>, <u>C.</u> <u>tanneri</u> and <u>C.</u> <u>angulatus</u>):","","","","","",""
"1605.10.40.05","7","<u>C.</u> <u>opilio</u> (small)","[""kg""]","","","","",""
"1605.10.40.10","7","Other","[""kg""]","","","","",""
"1605.10.40.15","6","Dungeness","[""kg""]","","","","",""
"","6","Swimming crabs (<u>Portunidae</u>):","","","","","",""
"1605.10.40.25","7","<u>Callinectes</u> <i>spp</i>., including blue crabs (<u>C</u>. <u>sapidus</u>)","[""kg""]","","","","",""
"1605.10.40.30","7","Other","[""kg""]","","","","",""
