HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"5607.90.90.00","2","Other (201)","[""kg""]","6.3%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","40%","",""
"5608","0","Knotted netting of twine, cordage or rope; made up fishing nets and other made up nets, of textile materials:","","","","","",""
"","1","Of man-made textile materials:","","","","","",""
"5608.11.00","2","Made up fishing nets","","8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","82%","",""
"5608.11.00.10","3","Hand-cast string-drawn","[""kg""]","","","","",""
"5608.11.00.90","3","Other (229)","[""kg""]","","","","",""
"5608.19","2","Other:","","","","","",""
"5608.19.10","3","Fish netting","","8.5%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","82%","",""
"5608.19.10.10","4","Salmon gill netting, of nylon or other polyamides (229)","[""kg""]","","","","",""
"5608.19.10.20","4","Other (229)","[""kg""]","","","","",""
"5608.19.20","3","Other","","5%","Free (AU,B,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","90%","",""
"5608.19.20.10","4","Bait bags with draw string closures","[""kg""]","","","","",""
"5608.19.20.90","4","Other (229)","[""kg""]","","","","",""
"5608.90","1","Other:","","","","","",""
"5608.90.10.00","2","Fish netting and fishing nets","[""kg""]","8%","Free (AU,BH, CL,CO,E*,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","82%","",""
"","2","Other:","","","","","",""
"","3","Of cotton:","","","","","",""
"5608.90.23.00","4","Hammocks","[""kg""]","14.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","90%","",""
"5608.90.27.00","4","Other (229)","[""kg""]","14.1%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","90%","",""
"5608.90.30.00","3","Other","[""kg""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","90%","",""
"5609.00","0","Articles of yarn, strip or the like of heading 5404 or 5405, twine, cordage, rope or cables, not elsewhere specified or included:","","","","","",""
"5609.00.10.00","1","Of cotton","[""kg""]","2.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","40%","",""
"5609.00.20.00","1","Of vegetable fibers, except cotton","[""kg""]","Free","","40%","",""
"5609.00.30.00","1","Of man-made fibers","[""kg""]","4.5%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","78.5%","",""
"5609.00.40.00","1","Other","[""kg""]","3.9%","Free (AU,BH, CL,CO,E*,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","90%","",""
