HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"","2","Valued over $10 each:","","","","","",""
"9104.00.25","3","With opto-electronic display only","","3.9% on the movement and case + 5.3% on the battery","Free (A+,AU,B,BH, C,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","35%","",""
"","3","Other:","","","","","",""
"9104.00.30","4","Electric (including battery operated)","","30¢ each + 4.3% on the movement and case + 3.5% on the battery","Free (A+,AU,B,BH, C,CL,CO,D, E,IL,JO,KR,MA,OM,P, PA,PE,S,SG)","$4.50 each + 65% on the movement and case + 35% on the battery","",""
"9104.00.40.00","4","Other","[""No.""]","30¢ each + 4.3%","Free (A+,AU,B,BH, C,CL,CO,D, E,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","$4.50 each + 65%","",""
"","1","Other:","","","","","",""
"9104.00.45","2","With opto-electronic display only","","2.6% on the movement and case + 3.5% on the battery","Free (A+,AU,B,BH, C,CL,CO,D, E,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","35%","",""
"","2","Other:","","","","","",""
"9104.00.50","3","Electric (including battery operated)","","20¢ each + 4.6% on the case + 3.5% on the battery","Free (A+,AU,B,BH, C,CL,CO,D, E,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","75¢ each + 45% on the case + 35% on the battery","",""
"9104.00.60","3","Other","","19¢ each + 4.5% on the case","Free (A+,AU,B,BH, C,CL,CO,D, E,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","75¢ each + 45% on the case","",""
"9105","0","Other clocks:","","","","","",""
"","1","Alarm clocks:","","","","","",""
"9105.11","2","Electrically operated:","","","","","",""
"9105.11.40","3","With opto-electronic display only","","3.9% on the movement and case + 5.3% on the battery","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","35%","",""
"9105.11.80","3","Other","","30¢ each + 6.9% on the case + 5.3% on the battery","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","75¢ each + 45% on the case + 35% on the battery","",""
"9105.19","2","Other:","","","","","",""
"","3","With movement measuring not over 50 mm in width or diameter:","","","","","",""
"9105.19.10","4","Not constructed or designed to operate for over 47 hours without rewinding","","30¢ each + 6.9% on the case","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","75¢ each + 45% on the case","",""
"","4","Constructed or designed to operate for over 47 hours without rewinding:","","","","","",""
"9105.19.20","5","Having no jewels or only one jewel","","60¢ each + 6.9% on the case","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR, MA,OM,P, PA,PE,S,SG)","$1.75 each + 45% on the case","",""
"9105.19.30","5","Having over one jewel","","43¢ each + 2.8¢/jewel over 7 + 3.7% on the case","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR, MA,OM,P, PA,PE,S,SG)","$2.25 each + 15¢/jewel over 7 + 60% on the case","",""
"","3","Other:","","","","","",""
"9105.19.40.00","4","Valued not over $5 each","[""No.""]","15¢ each + 6.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$1.50 each + 65%","",""
"9105.19.50.00","4","Valued over $5 each","[""No.""]","23¢ each + 3.2%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","$4.50 each + 65%","",""
"","1","Wall clocks:","","","","","",""
"9105.21","2","Electrically operated:","","","","","",""
"9105.21.40","3","With opto-electronic display only","","3.9% on the movement and case+ 5.3% on the battery","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","35%","",""
"9105.21.80","3","Other","","30¢ each + 6.9% on the case + 5.3% on the battery","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","75¢ each + 45% on the case + 35% on the battery","",""
"9105.29","2","Other:","","","","","",""
"","3","With movement measuring not over 50 mm in width or diameter:","","","","","",""
