HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"5205.48.00","2","Measuring per single yarn less than 83.33 decitex (exceeding 120 metric number)","","12%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","34.1%","",""
"5205.48.00.20","3","Ring spun (301)","[""kg""]","","","","",""
"5205.48.00.90","3","Other (301)","[""kg""]","","","","",""
"5206","0","Cotton yarn (other than sewing thread), containing less than 85 percent by weight of cotton, not put up for retail sale:","","","","","",""
"","1","Single yarn, of uncombed fibers:","","","","","",""
"5206.11.00.00","2","Not exceeding 14 nm (300)","[""kg""]","9.2%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","40%","",""
"5206.12.00.00","2","Exceeding 14 nm but not exceeding 43 nm (300)","[""kg""]","9.2%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","40%","",""
"5206.13.00.00","2","Exceeding 43 nm but not exceeding 52 nm (300)","[""kg""]","9.2%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","40%","",""
"5206.14.00.00","2","Exceeding 52 nm but not exceeding 80 nm (300)","[""kg""]","9.2%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","40%","",""
"5206.15.00.00","2","Exceeding 80 nm (300)","[""kg""]","9.2%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","40%","",""
"","1","Single yarn, of combed fibers:","","","","","",""
"5206.21.00.00","2","Not exceeding 14 nm (301)","[""kg""]","9.2%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"5206.22.00.00","2","Exceeding 14 nm but not exceeding 43 nm (301)","[""kg""]","9.2%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"5206.23.00.00","2","Exceeding 43 nm but not exceeding 52 nm (301)","[""kg""]","9.2%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"5206.24.00.00","2","Exceeding 52 nm but not exceeding 80 nm (301)","[""kg""]","9.2%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"5206.25.00.00","2","Exceeding 80 nm (301)","[""kg""]","9.2%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"","1","Multiple (folded) or cabled yarn, of uncombed fibers:","","","","","",""
"5206.31.00.00","2","Not exceeding 14 nm per single yarn (300)","[""kg""]","9.2%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","40%","",""
"5206.32.00.00","2","Exceeding 14 nm but not exceeding 43 nm per single yarn (300)","[""kg""]","9.2%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","40%","",""
"5206.33.00.00","2","Exceeding 43 nm but not exceeding 52 nm per single yarn (300)","[""kg""]","9.2%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","40%","",""
"5206.34.00.00","2","Exceeding 52 nm but not exceeding 80 nm per single yarn (300)","[""kg""]","9.2%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","40%","",""
"5206.35.00.00","2","Exceeding 80 nm per single yarn (300)","[""kg""]","9.2%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","40%","",""
"","1","Multiple (folded) or cabled yarn, of combed fibers:","","","","","",""
"5206.41.00.00","2","Not exceeding 14 nm per single yarn (301)","[""kg""]","9.2%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"5206.42.00.00","2","Exceeding 14 nm but not exceeding 43 nm per single yarn (301)","[""kg""]","9.2%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
