HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"7304.29.61.75","5","Having an outside diameter exceeding <il>406.4 mm</il>","[""kg""]","","","","",""
"","1","Other, of circular cross section, of iron or nonalloy steel:","","","","","",""
"7304.31","2","Cold-drawn or cold-rolled (cold-reduced):","","","","","",""
"7304.31.30.00","3","Hollow bars","[""kg""]","Free","","22%","",""
"7304.31.60","3","Other","","Free","","25%","",""
"7304.31.60.10","4","Suitable for use in boilers, superheaters, heat exchangers, condensers, refining furnaces and feedwater heaters","[""kg""]","","","","",""
"7304.31.60.50","4","Other","[""kg""]","","","","",""
"7304.39.00","2","Other","","Free","","25%","",""
"","3","Suitable for use in boilers, superheaters, heat exchangers, condensers, refining furnaces and feedwater heaters:","","","","","",""
"7304.39.00.02","4","Having an outside diameter less than <il>38.1 mm</il>","[""kg""]","","","","",""
"7304.39.00.04","4","Having an outside diameter of <il>38.1 mm</il> or more but less than 190.5 mm","[""kg""]","","","","",""
"7304.39.00.06","4","Having an outside diameter of <il>190.5 mm</il> or more but not exceeding <il>285.8 mm</il>","[""kg""]","","","","",""
"7304.39.00.08","4","Having an outside diameter exceeding <il>285.8 mm</il>","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"7304.39.00.16","4","Galvanized, having an outside diameter not exceeding <il>114.3 mm</il>","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"7304.39.00.20","5","Having an outside diameter less than <il>38.1 mm</il>","[""kg""]","","","","",""
"","5","Having an outside diameter of <il>38.1 mm</il> or more but not exceeding <il>114.3 mm</il>:","","","","","",""
"7304.39.00.24","6","Having a wall thickness less than <il>6.4 mm</il>","[""kg""]","","","","",""
"7304.39.00.28","6","Having a wall thickness of <il>6.4 mm</il> or more but not exceeding <il>12.7 mm</il>","[""kg""]","","","","",""
"7304.39.00.32","6","Having a wall thickness exceeding <il>12.7 mm</il>","[""kg""]","","","","",""
"","5","Having an outside diameter exceeding <il>114.3 mm</il> but less than <il>190.5 mm:</il>","","","","","",""
"7304.39.00.36","6","Having a wall thickness less than <il>12.7 mm</il>","[""kg""]","","","","",""
"7304.39.00.40","6","Having a wall thickness of <il>12.7 mm</il> or more but less than <il>19 mm</il>","[""kg""]","","","","",""
"7304.39.00.44","6","Having a wall thickness of <il>19 mm</il> or more","[""kg""]","","","","",""
"","5","Having an outside diameter of <il>190.5 mm</il> or more but not exceeding <il>285.8 mm</il>:","","","","","",""
"7304.39.00.48","6","Having a wall thickness less than <il>12.7 mm</il>","[""kg""]","","","","",""
"7304.39.00.52","6","Having a wall thickness of <il>12.7 mm</il> or more but less than <il>19 mm</il>","[""kg""]","","","","",""
"7304.39.00.56","6","Having a wall thickness of <il>19 mm</il> or more","[""kg""]","","","","",""
"","5","Having an outside diameter exceeding <il>285.8 mm</il> but not exceeding <il>406.4 mm</il>:","","","","","",""
"7304.39.00.62","6","Having a wall thickness less than <il>12.7 mm</il>","[""kg""]","","","","",""
"7304.39.00.68","6","Having a wall thickness of <il>12.7 mm</il> or more but less than <il>19 mm</il>","[""kg""]","","","","",""
"7304.39.00.72","6","Having a wall thickness of <il>19 mm</il> or more","[""kg""]","","","","",""
"","5","Having an outside diameter exceeding <il>406.4 mm</il>:","","","","","",""
"7304.39.00.76","6","Having a wall thickness less than <il>19 mm</il>","[""kg""]","","","","",""
"7304.39.00.80","6","Having a wall thickness of <il>19 mm</il> or more","[""kg""]","","","","",""
"","1","Other, of circular cross section, of stainless steel:","","","","","",""
"7304.41","2","Cold-drawn or cold-rolled (cold-reduced):","","","","","",""
"7304.41.30","3","Of an external diameter of less than <il>19 mm</il>","","Free","","36%","",""
"7304.41.30.05","4","Of high-nickel alloy steel","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"7304.41.30.15","5","Suitable for use in boilers, superheaters, heat exchangers, condensers, refining furnaces and feedwater heaters","[""kg""]","","","","",""
"7304.41.30.45","5","Other","[""kg""]","","","","",""
"7304.41.60","3","Other","","Free","","36%","",""
"7304.41.60.05","4","Of high-nickel alloy steel","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"7304.41.60.15","5","Suitable for use in boilers, superheaters, heat exchangers, condensers, refining furnaces and feedwater heaters","[""kg""]","","","","",""
"7304.41.60.45","5","Other","[""kg""]","","","","",""
"7304.49.00","2","Other","","Free","","36%","",""
"7304.49.00.05","3","Of high-nickel alloy steel","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"7304.49.00.15","4","Hollow bars","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"7304.49.00.45","5","Suitable for use in boilers, superheaters, heat exchangers, condensers, refining furnaces and feedwater heaters","[""kg""]","","","","",""
"7304.49.00.60","5","Other","[""kg""]","","","","",""
"","1","Other, of circular cross section, of other alloy steel:","","","","","",""
"7304.51","2","Cold-drawn or cold-rolled (cold-reduced):","","","","","",""
"7304.51.10.00","3","Suitable for use in the manufacture of ball or roller bearings","[""kg""]","Free","","34%","",""
"7304.51.50","3","Other","","Free","","35%","",""
"7304.51.50.05","4","Of high-nickel alloy steel","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"","5","Suitable for use in boilers, superheaters, heat exchangers, condensers, refining furnaces and feedwater heaters:","","","","","",""
"7304.51.50.15","6","Of heat-resisting steel","[""kg""]","","","","",""
"7304.51.50.45","6","Other","[""kg""]","","","","",""
"7304.51.50.60","5","Other","[""kg""]","","","","",""
"7304.59","2","Other:","","","","","",""
"7304.59.10.00","3","Suitable for use in the manufacture of ball or roller bearings","[""kg""]","Free","","34%","",""
"","3","Other:","","","","","",""
"7304.59.20","4","Suitable for use in boilers, superheaters, heat exchangers, condensers, refining furnaces and feedwater heaters","","Free","","35%","",""
"7304.59.20.30","5","Of heat-resisting steel","[""kg""]","","","","",""
"","5","Other:","","","","","",""
"7304.59.20.40","6","Having an outside diameter less than <il>38.1 mm</il>","[""kg""]","","","","",""
"7304.59.20.45","6","Having an outside diameter of <il>38.1 mm</il> or more but not exceeding <il>114.3 mm</il>","[""kg""]","","","","",""
"7304.59.20.55","6","Having an outside diameter exceeding <il>114.3 mm</il> but less than <il>190.5 mm</il>","[""kg""]","","","","",""
"7304.59.20.60","6","Having an outside diameter of <il>190.5 mm</il> or more but not exceeding <il>285.8 mm</il>","[""kg""]","","","","",""
"7304.59.20.70","6","Having an outside diameter exceeding <il>285.8 mm</il> but not exceeding <il>406.4 mm</il>","[""kg""]","","","","",""
"7304.59.20.80","6","Having an outside diameter exceeding <il>406.4 mm</il>","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"7304.59.60.00","5","Of heat-resisting steel","[""kg""]","Free","","36%","",""
"7304.59.80","5","Other","","Free","","35%","",""
"7304.59.80.10","6","Having an outside diameter less than <il>38.1 mm</il>","[""kg""]","","","","",""
"","6","Having an outside diameter of <il>38.1 mm</il> or more but not exceeding <il>114.3 mm</il>:","","","","","",""
"7304.59.80.15","7","Having a wall thickness less than <il>6.4 mm</il>","[""kg""]","","","","",""
"7304.59.80.20","7","Having a wall thickness of <il>6.4 mm</il> or more but not exceeding <il>12.7 mm</il>","[""kg""]","","","","",""
"7304.59.80.25","7","Having a wall thickness exceeding <il>12.7 mm</il>","[""kg""]","","","","",""
"","6","Having an outside diameter exceeding <il>114.3 mm</il> but less than <il>190.5 mm:</il>","","","","","",""
"7304.59.80.30","7","Having a wall thickness less than <il>12.7 mm</il>","[""kg""]","","","","",""
"7304.59.80.35","7","Having a wall thickness of <il>12.7 mm</il> or more but less than <il>19 mm</il>","[""kg""]","","","","",""
"7304.59.80.40","7","Having a wall thickness of <il>19 mm</il> or more","[""kg""]","","","","",""
"","6","Having an outside diameter of <il>190.5 mm</il> or more but not exceeding <il>285.8 mm</il>:","","","","","",""
"7304.59.80.45","7","Having a wall thickness less than <il>12.7 mm</il>","[""kg""]","","","","",""
"7304.59.80.50","7","Having a wall thickness of <il>12.7 mm</il> or more but less than <il>19 mm</il>","[""kg""]","","","","",""
"7304.59.80.55","7","Having a wall thickness of <il>19 mm</il> or more","[""kg""]","","","","",""
"","6","Having an outside diameter exceeding <il>285.8 mm</il> but not exceeding <il>406.4 mm</il>:","","","","","",""
"7304.59.80.60","7","Having a wall thickness less than <il>12.7 mm</il>","[""kg""]","","","","",""
"7304.59.80.65","7","Having a wall thickness of <il>12.7 mm</il> or more but less than <il>19 mm</il>","[""kg""]","","","","",""
"7304.59.80.70","7","Having a wall thickness of <il>19 mm</il> or more","[""kg""]","","","","",""
"7304.59.80.80","6","Having an outside diameter exceeding <il>406.4 mm</il>","[""kg""]","","","","",""
"7304.90","1","Other:","","","","","",""
"","2","Having a wall thickness of 4 mm or more:","","","","","",""
"7304.90.10.00","3","Of iron or nonalloy steel","[""kg""]","Free","","1%","",""
"7304.90.30.00","3","Of alloy steel","[""kg""]","Free","","8.5%","",""
"","2","Having a wall thickness of less than <il>4 mm:</il>","","","","","",""
"7304.90.50.00","3","Of iron or nonalloy steel","[""kg""]","Free","","25%","",""
"7304.90.70.00","3","Of alloy steel","[""kg""]","Free","","35%","",""
"7305","0","Other tubes and pipes (for example, welded, riveted or similarly closed), having circular cross sections, the external diameter of which exceeds <il>406.4 mm</il>, of iron or steel:","","","","","",""
"","1","Line pipe of a kind used for oil or gas pipelines:","","","","","",""
"7305.11","2","Longitudinally submerged arc welded:","","","","","",""
"7305.11.10","3","Of iron or nonalloy steel","","Free","","5.5%","",""
"7305.11.10.30","4","With an external diameter exceeding <il>406.4 mm</il> but not exceeding <il>609.6 mm</il>","[""kg""]","","","","",""
"7305.11.10.60","4","With an external diameter exceeding <il>609.6 mm</il>","[""kg""]","","","","",""
"7305.11.50.00","3","Of alloy steel","[""kg""]","Free","","10%","",""
"7305.12","2","Other, longitudinally welded:","","","","","",""
"7305.12.10","3","Of iron or nonalloy steel","","Free","","5.5%","",""
"7305.12.10.30","4","With an external diameter exceeding <il>406.4 mm</il> but not exceeding <il>609.6 mm</il>","[""kg""]","","","","",""
"7305.12.10.60","4","With an external diameter exceeding <il>609.6 mm</il>","[""kg""]","","","","",""
"7305.12.50.00","3","Of alloy steel","[""kg""]","Free","","10%","",""
"7305.19","2","Other:","","","","","",""
"7305.19.10","3","Of iron or nonalloy steel","","Free","","5.5%","",""
"7305.19.10.30","4","With an external diameter exceeding <il>406.4 mm</il> but not exceeding <il>609.6 mm</il>","[""kg""]","","","","",""
"7305.19.10.60","4","With an external diameter exceeding <il>609.6 mm</il>","[""kg""]","","","","",""
"7305.19.50.00","3","Of alloy steel","[""kg""]","Free","","10%","",""
"7305.20","1","Casing of a kind used in drilling for oil or gas:","","","","","",""
"","2","Of iron or nonalloy steel:","","","","","",""
"7305.20.20.00","3","Threaded or coupled","[""kg""]","Free","","20%","",""
"7305.20.40.00","3","Other","[""kg""]","Free","","1%","",""
"","2","Of alloy steel:","","","","","",""
"7305.20.60.00","3","Threaded or coupled","[""kg""]","Free","","28%","",""
"7305.20.80.00","3","Other","[""kg""]","Free","","8.5%","",""
"","1","Other, welded:","","","","","",""
"7305.31","2","Longitudinally welded:","","","","","",""
"7305.31.20.00","3","Tapered pipes and tubes of steel principally used as parts of illuminating articles","[""kg""]","Free","","45%","",""
"","3","Other:","","","","","",""
"7305.31.40.00","4","Of iron or nonalloy steel","[""kg""]","Free","","5.5%","",""
"7305.31.60","4","Of alloy steel","","Free","","10%","",""
"7305.31.60.10","5","Of stainless steel","[""kg""]","","","","",""
"7305.31.60.90","5","Other","[""kg""]","","","","",""
"7305.39","2","Other:","","","","","",""
"7305.39.10.00","3","Of iron or nonalloy steel","[""kg""]","Free","","5.5%","",""
"7305.39.50.00","3","Of alloy steel","[""kg""]","Free","","10%","",""
"7305.90","1","Other:","","","","","",""
"7305.90.10.00","2","Of iron or nonalloy steel","[""kg""]","Free","","5.5%","",""
"7305.90.50.00","2","Of alloy steel","[""kg""]","Free","","10%","",""
"7306","0","Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:","","","","","",""
"","1","Line pipe of a kind used for oil or gas pipelines:","","","","","",""
"7306.11.00","2","Welded, of stainless steel","","Free","","10%","",""
"7306.11.00.10","3","With an outside diameter not exceeding <il>114.3 mm</il>","[""kg""]","","","","",""
"7306.11.00.50","3","With an outside diameter exceeding <il>114.3 mm</il>","[""kg""]","","","","",""
"7306.19","2","Other:","","","","","",""
"7306.19.10","3","Of iron or nonalloy steel","","Free","","5.5%","",""
"7306.19.10.10","4","With an outside diameter not exceeding <il>114.3 mm</il>","[""kg""]","","","","",""
"7306.19.10.50","4","With an outside diameter exceeding <il>114.3 mm</il>","[""kg""]","","","","",""
"7306.19.51","3","Of alloy steel","","Free","","10%","",""
"7306.19.51.10","4","With an outside diameter not exceeding <il>114.3 mm</il>","[""kg""]","","","","",""
"7306.19.51.50","4","With an outside diameter exceeding <il>114.3 mm</il>","[""kg""]","","","","",""
"","1","Casing and tubing of a kind used in drilling for oil or gas:","","","","","",""
"7306.21","2","Welded of stainless steel:","","","","","",""
"","3","Casing:","","","","","",""
"7306.21.30.00","4","Threaded or coupled","[""kg""]","Free","","28%","",""
"7306.21.40.00","4","Other","[""kg""]","Free","","8.5%","",""
"7306.21.80","3","Tubing","","Free","","10%","",""
"7306.21.80.10","4","Imported with coupling","[""kg""]","","","","",""
"7306.21.80.50","4","Other","[""kg""]","","","","",""
"7306.29","2","Other:","","","","","",""
"","3","Casing:","","","","","",""
"","4","Of iron or nonalloy steel:","","","","","",""
"7306.29.10","5","Threaded or coupled","","Free","","20%","",""
"7306.29.10.30","6","Imported with coupling","[""kg""]","","","","",""
"7306.29.10.90","6","Other","[""kg""]","","","","",""
"7306.29.20.00","5","Other","[""kg""]","Free","","1%","",""
"","4","Other:","","","","","",""
"7306.29.31.00","5","Threaded or coupled","[""kg""]","Free","","28%","",""
"7306.29.41.00","5","Other","[""kg""]","Free","","8.5%","",""
