HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"5810.91.00","2","Of cotton","","See additional U.S. note 1","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","See additional U.S. note 1","",""
"5810.91.00.10","3","Weighing over 200 g/m²","[""kg""]","","","","",""
"5810.91.00.20","3","Other","[""kg""]","","","","",""
"5810.92","2","Of man-made fibers:","","","","","",""
"5810.92.10.00","3","Badges, emblems and motifs","[""kg""]","See additional U.S. note 2","Free (AU,BH, CL,CO,E*,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","See additional U.S. note 2","",""
"5810.92.90","3","Other","","See additional U.S. note 3","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","See additional U.S. note 3","",""
"5810.92.90.30","4","Labels (669)","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"5810.92.90.50","5","On a ground fabric weighing less than <il>100 g/m²</il> and of a width of more than <il>225 cm</il>","[""kg""]","","","","",""
"5810.92.90.80","5","Other","[""kg""]","","","","",""
"5810.99","2","Of other textile materials:","","","","","",""
"5810.99.10.00","3","Of wool or fine animal hair (414)","[""kg""]","See additional U.S. note 4","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","See additional U.S. note 4","",""
"5810.99.90.00","3","Other","[""kg""]","See additional U.S. note 5","Free (AU,BH, CL,CO,E*,IL,JO,KR,MA,OM, P,PA,PE,S,SG)","See additional U.S. note 5","",""
"5811.00","0","Quilted textile products in the piece, composed of one or more layers of textile materials assembled with padding by stitching or otherwise, other than embroidery of heading 5810:","","","","","",""
"5811.00.10.00","1","Of wool or fine animal hair (414)","[""m²"",""<u>kg<\/u>""]","13.2%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","57%","",""
"5811.00.20.00","1","Of cotton (229)","[""m²"",""<u>kg<\/u>""]","6.3%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","40%","",""
"5811.00.30.00","1","Of man-made fibers (229)","[""m²"",""<u>kg<\/u>""]","8%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","83.5%","",""
"5811.00.40.00","1","Of other textile materials","[""m²"",""kg""]","Free","","40%","",""
