HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"6909.11.20.00","3","Machinery parts","[""No.""]","Free","","40%","",""
"6909.11.40.00","3","Other","[""No.""]","4.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"6909.12.00.00","2","Articles having a hardness equivalent to 9 or more on the Mohs scale","[""No.""]","4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"6909.19","2","Other:","","","","","",""
"6909.19.10.00","3","Ferrite core memories","[""No.""]","Free","","35%","",""
"6909.19.50","3","Other","","4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"6909.19.50.10","4","Ceramic bearings","[""No.""]","","","","",""
"6909.19.50.95","4","Other","[""No.""]","","","","",""
"6909.90.00.00","1","Other","[""No.""]","4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"6910","0","Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet bowls, flush tanks, urinals and similar sanitary fixtures:","","","","","",""
"6910.10.00","1","Of porcelain or china","","5.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"6910.10.00.05","2","Water closet bowls, flushometer type","[""No.""]","","","","",""
"6910.10.00.10","2","Water closet bowls with tanks, in one piece","[""No.""]","","","","",""
"6910.10.00.15","2","Flush tanks","[""No.""]","","","","",""
"6910.10.00.20","2","Other water closet bowls","[""No.""]","","","","",""
"6910.10.00.30","2","Sinks and lavatories","[""No.""]","","","","",""
"6910.10.00.50","2","Other","[""No.""]","","","","",""
"6910.90.00.00","1","Other","[""No.""]","5.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"6911","0","Tableware, kitchenware, other household articles and toilet articles, of porcelain or china:","","","","","",""
"6911.10","1","Tableware and kitchenware:","","","","","",""
"6911.10.10.00","2","Hotel or restaurant ware and other ware not household ware","[""Dz Pcs""]","25%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","75%","",""
"","2","Other:","","","","","",""
"","3","Of bone chinaware:","","","","","",""
"6911.10.15.00","4","Valued not over $31.50 per dozen pieces","[""Dz Pcs""]","8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","75%","",""
"6911.10.25.00","4","Other","[""Dz Pcs""]","6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","75%","",""
"","3","Other:","","","","","",""
"","4","Available in specified sets:","","","","","",""
"6911.10.35","5","In any pattern for which the aggregate value of the articles listed in additional U.S. note 6(b) of this chapter is not over $56","","26%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","75%","",""
"6911.10.35.10","6","Plates not over 27.9 cm in maximum dimension; teacups and saucers; mugs; soups, fruits and cereals, the foregoing not over 22.9 cm in maximum dimension","[""Dz Pcs""]","","","","",""
"6911.10.35.50","6","Other","[""Dz Pcs""]","","","","",""
"","5","In any pattern for which the aggregate value of the articles listed in additional U.S. note 6(b) of this chapter is over $56:","","","","","",""
