HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"5512.19.00.22","5","Of a width exceeding 254 cm (613)","[""m²"",""kg""]","","","","",""
"5512.19.00.27","5","Other (613)","[""m²"",""kg""]","","","","",""
"5512.19.00.30","4","Printcloth (615)","[""m²"",""kg""]","","","","",""
"5512.19.00.35","4","Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]","","","","",""
"5512.19.00.40","4","Duck (219)","[""m²"",""kg""]","","","","",""
"5512.19.00.45","4","Satin weave or twill weave (617)","[""m²"",""kg""]","","","","",""
"5512.19.00.50","4","Oxford cloth (227)","[""m²"",""kg""]","","","","",""
"5512.19.00.90","4","Other (220)","[""m²"",""kg""]","","","","",""
"","1","Containing 85 percent of more by weight of acrylic or modacrylic staple fibers:","","","","","",""
"5512.21.00","2","Unbleached or bleached","","12%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","81%","",""
"5512.21.00.10","3","Poplin or broadcloth (614)","[""m²"",""kg""]","","","","",""
"5512.21.00.20","3","Sheeting (613)","[""m²"",""kg""]","","","","",""
"5512.21.00.30","3","Printcloth (615)","[""m²"",""kg""]","","","","",""
"5512.21.00.40","3","Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]","","","","",""
"5512.21.00.50","3","Duck (219)","[""m²"",""kg""]","","","","",""
"5512.21.00.60","3","Satin weave or twill weave (617)","[""m²"",""kg""]","","","","",""
"5512.21.00.70","3","Oxford cloth (227)","[""m²"",""kg""]","","","","",""
"5512.21.00.90","3","Other (220)","[""m²"",""kg""]","","","","",""
"5512.29.00","2","Other","","12%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","81%","",""
"5512.29.00.05","3","Of yarns of different colors, except blue denim or jacquard weave (218)","[""m²"",""kg""]","","","","",""
"5512.29.00.10","3","Blue denim (225)","[""m²"",""kg""]","","","","",""
"","3","Other:","","","","","",""
"5512.29.00.15","4","Poplin or broadcloth (614)","[""m²"",""kg""]","","","","",""
"5512.29.00.20","4","Sheeting (613)","[""m²"",""kg""]","","","","",""
"5512.29.00.25","4","Printcloth (615)","[""m²"",""kg""]","","","","",""
"5512.29.00.30","4","Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]","","","","",""
"5512.29.00.35","4","Duck (219)","[""m²"",""kg""]","","","","",""
"5512.29.00.40","4","Satin weave or twill weave (617)","[""m²"",""kg""]","","","","",""
"5512.29.00.45","4","Oxford cloth (227)","[""m²"",""kg""]","","","","",""
"5512.29.00.90","4","Other (220)","[""m²"",""kg""]","","","","",""
"","1","Other:","","","","","",""
"5512.91.00","2","Unbleached or bleached","","14.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","81%","",""
"5512.91.00.10","3","Poplin or broadcloth (614)","[""m²"",""kg""]","","","","",""
"5512.91.00.20","3","Sheeting (613)","[""m²"",""kg""]","","","","",""
"5512.91.00.30","3","Printcloth (615)","[""m²"",""kg""]","","","","",""
"5512.91.00.40","3","Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]","","","","",""
"5512.91.00.50","3","Duck (219)","[""m²"",""kg""]","","","","",""
"5512.91.00.60","3","Satin weave or twill weave (617)","[""m²"",""kg""]","","","","",""
"5512.91.00.70","3","Oxford cloth (227)","[""m²"",""kg""]","","","","",""
"5512.91.00.90","3","Other (220)","[""m²"",""kg""]","","","","",""
"5512.99.00","2","Other","","12%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","81%","",""
"5512.99.00.05","3","Of yarns of different colors, except blue denim or jacquard weave (218)","[""m²"",""kg""]","","","","",""
"5512.99.00.10","3","Blue denim (225)","[""m²"",""kg""]","","","","",""
"","3","Other:","","","","","",""
"5512.99.00.15","4","Poplin or broadcloth (614)","[""m²"",""kg""]","","","","",""
"5512.99.00.20","4","Sheeting (613)","[""m²"",""kg""]","","","","",""
"5512.99.00.25","4","Printcloth (615)","[""m²"",""kg""]","","","","",""
"5512.99.00.30","4","Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]","","","","",""
"5512.99.00.35","4","Duck (219)","[""m²"",""kg""]","","","","",""
"5512.99.00.40","4","Satin weave or twill weave (617)","[""m²"",""kg""]","","","","",""
"5512.99.00.45","4","Oxford cloth (227)","[""m²"",""kg""]","","","","",""
"5512.99.00.90","4","Other (220)","[""m²"",""kg""]","","","","",""
"5513","0","Woven fabrics of synthetic staple fibers, containing less than 85 percent by weight of such fibers, mixed mainly or solely with cotton, of a weight not exceeding 170 g/m²:","","","","","",""
"","1","Unbleached or bleached:","","","","","",""
"5513.11.00","2","Of polyester staple fibers, plain weave","","14.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","81%","",""
"5513.11.00.20","3","Poplin or broadcloth (614)","[""m²"",""kg""]","","","","",""
"5513.11.00.40","3","Sheeting (613)","[""m²"",""kg""]","","","","",""
"5513.11.00.60","3","Printcloth (615)","[""m²"",""kg""]","","","","",""
"5513.11.00.90","3","Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]","","","","",""
"5513.12.00.00","2","3-thread or 4-thread twill, including cross twill, of polyester staple fibers (617)","[""m²"",""kg""]","14.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","81%","",""
"5513.13.00","2","Other woven fabrics of polyester staple fibers","","14.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","81%","",""
"5513.13.00.20","3","Satin weave or twill weave (617)","[""m²"",""kg""]","","","","",""
"5513.13.00.40","3","Oxford cloth (227)","[""m²"",""kg""]","","","","",""
"5513.13.00.90","3","Other (220)","[""m²"",""kg""]","","","","",""
"5513.19.00","2","Other woven fabrics","","14.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","81%","",""
"5513.19.00.10","3","Poplin or broadcloth (614)","[""m²"",""kg""]","","","","",""
"5513.19.00.20","3","Sheeting (613)","[""m²"",""kg""]","","","","",""
"5513.19.00.30","3","Printcloth (615)","[""m²"",""kg""]","","","","",""
"5513.19.00.40","3","Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]","","","","",""
"5513.19.00.50","3","Satin weave or twill weave (617)","[""m²"",""kg""]","","","","",""
"5513.19.00.60","3","Oxford cloth (227)","[""m²"",""kg""]","","","","",""
"5513.19.00.90","3","Other (220)","[""m²"",""kg""]","","","","",""
"","1","Dyed:","","","","","",""
"5513.21.00","2","Of polyester staple fibers, plain weave","","14.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","81%","",""
"5513.21.00.20","3","Poplin or broadcloth (614)","[""m²"",""kg""]","","","","",""
"5513.21.00.40","3","Sheeting (613)","[""m²"",""kg""]","","","","",""
"5513.21.00.60","3","Printcloth (615)","[""m²"",""kg""]","","","","",""
"5513.21.00.90","3","Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]","","","","",""
"5513.23.01","2","Other woven fabrics of polyester staple fibers","","14.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","81%","",""
"5513.23.01.21","3","Satin weave or twill weave (617)","[""m²"",""kg""]","","","","",""
"5513.23.01.41","3","Oxford cloth (227)","[""m²"",""kg""]","","","","",""
"5513.23.01.91","3","Other (220)","[""m²"",""kg""]","","","","",""
"5513.29.00","2","Other woven fabrics","","14.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","81%","",""
"5513.29.00.10","3","Poplin or broadcloth (614)","[""m²"",""kg""]","","","","",""
"5513.29.00.20","3","Sheeting (613)","[""m²"",""kg""]","","","","",""
"5513.29.00.30","3","Printcloth (615)","[""m²"",""kg""]","","","","",""
"5513.29.00.40","3","Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]","","","","",""
"5513.29.00.50","3","Satin weave or twill weave (617)","[""m²"",""kg""]","","","","",""
"5513.29.00.60","3","Oxford cloth (227)","[""m²"",""kg""]","","","","",""
"5513.29.00.90","3","Other (220)","[""m²"",""kg""]","","","","",""
"","1","Of yarns of different colors:","","","","","",""
"5513.31.00.00","2","Of polyester staple fibers, plain weave (218)","[""m²"",""kg""]","14.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","81%","",""
"5513.39.01","2","Other woven fabrics","","14.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","81%","",""
"5513.39.01.11","3","Jacquard weave (220)","[""m²"",""kg""]","","","","",""
"5513.39.01.15","3","Oxford cloth (218)","[""m²"",""kg""]","","","","",""
"5513.39.01.91","3","Other (218)","[""m²"",""kg""]","","","","",""
"","1","Printed:","","","","","",""
"5513.41.00","2","Of polyester staple fibers, plain weave","","14.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","81%","",""
"5513.41.00.20","3","Poplin or broadcloth (614)","[""m²"",""kg""]","","","","",""
"5513.41.00.40","3","Sheeting (613)","[""m²"",""kg""]","","","","",""
"5513.41.00.60","3","Printcloth (615)","[""m²"",""kg""]","","","","",""
"5513.41.00.90","3","Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]","","","","",""
"5513.49","2","Other woven fabrics:","","","","","",""
"5513.49.10.00","3","3-thread or 4-thread twill, including cross twill, of polyester staple fibers (617)","[""m²"",""kg""]","13.6%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","81%","",""
"5513.49.20","3","Other woven fabrics of polyester staple fibers","","14.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","81%","",""
"5513.49.20.20","4","Satin weave or twill weave (617)","[""m²"",""kg""]","","","","",""
"5513.49.20.40","4","Oxford cloth (227)","[""m²"",""kg""]","","","","",""
"5513.49.20.90","4","Other (220)","[""m²"",""kg""]","","","","",""
"5513.49.90","3","Other","","8.5%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","81%","",""
"5513.49.90.10","4","Poplin or broadcloth (614)","[""m²"",""kg""]","","","","",""
"5513.49.90.20","4","Sheeting (613)","[""m²"",""kg""]","","","","",""
"5513.49.90.30","4","Printcloth (615)","[""m²"",""kg""]","","","","",""
"5513.49.90.40","4","Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]","","","","",""
"5513.49.90.50","4","Satin weave or twill weave (617)","[""m²"",""kg""]","","","","",""
"5513.49.90.60","4","Oxford cloth (227)","[""m²"",""kg""]","","","","",""
"5513.49.90.90","4","Other (220)","[""m²"",""kg""]","","","","",""
"5514","0","Woven fabrics of synthetic staple fibers, containing less than 85 percent by weight of such fibers, mixed mainly or solely with cotton, of a weight exceeding 170 g/m²:","","","","","",""
"","1","Unbleached or bleached:","","","","","",""
"5514.11.00","2","Of polyester staple fibers, plain weave","","14.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","81%","",""
"5514.11.00.20","3","Poplin or broadcloth (614)","[""m²"",""kg""]","","","","",""
"","3","Sheeting:","","","","","",""
"5514.11.00.30","4","Not napped (613)","[""m²"",""kg""]","","","","",""
"5514.11.00.50","4","Napped (613)","[""m²"",""kg""]","","","","",""
"5514.11.00.90","3","Plain weave duck (219)","[""m²"",""kg""]","","","","",""
"5514.12.00","2","3-thread or 4-thread twill, including cross twill, of polyester staple fibers","","14.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","81%","",""
"5514.12.00.20","3","Not napped (617)","[""m²"",""kg""]","","","","",""
"5514.12.00.40","3","Napped (617)","[""m²"",""kg""]","","","","",""
"5514.19","2","Other woven fabrics:","","","","","",""
