HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"2825.90.15.00","2","Niobium oxide","[""kg""]","3.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2825.90.20.00","2","Tin oxides","[""kg""]","4.2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2825.90.30.00","2","Tungsten oxides","[""kg"",""W kg""]","5.5%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P, PA,PE,S,SG)","45.5%","",""
"2825.90.75.00","2","Cadmium oxide","[""kg""]","Free","","25%","",""
"2825.90.90.00","2","Other","[""kg""]","3.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","1","V. SALTS AND PEROXYSALTS, OF INORGANIC ACIDS AND METALS","","","","","",""
"2826","0","Fluorides; fluorosilicates, fluoroaluminates and other complex fluorine salts:","","","","","",""
"","1","Fluorides:","","","","","",""
"2826.12.00.00","2","Of aluminum","[""kg""]","Free","","25%","",""
"2826.19","2","Other:","","","","","",""
"2826.19.10.00","3","Of ammonium","[""kg""]","3.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2826.19.20.00","3","Of sodium","[""kg""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2826.19.90.00","3","Other","[""kg""]","3.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2826.30.00.00","1","Sodium hexafluoroaluminate (Synthetic cryolite)","[""t""]","Free","","Free","",""
"2826.90","1","Other:","","","","","",""
"2826.90.10.00","2","Fluorosilicates of sodium or of potassium","[""kg""]","4.1%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","62.5%","",""
"2826.90.90","2","Other","","3.1%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2826.90.90.10","4","Lithium hexafluorophosphate","[""kg""]","","","","",""
"2826.90.90.90","4","Other","[""kg""]","","","","",""
